/*********************************************
 * OPL 12.6.0.0 Data
 * Author: oliveras
 * Creation Date: Jun 8, 2018 at 10:41:05 AM
 *********************************************/

 nBuses = 10;
 nDrivers = 10;
 nServices = 25;
 
 start = [420 610 890 1100 645 710 895 400 530 1200 1000 850 440 420 750 910 1050 450 680 910 1040 610 420 500 610]; // minutes after 0:00 (i.e. 510 is 8:30am)
 minutes = [30 60 90 120  180 45 50 75 120 150 110 100 60 35 75 120 180 170 100 50 80 60 30 45 90];
 kms =      [35 70 100 110 200 50 55 80 140 180 100 90  75 40 80 100 200 190 120 40 60 45 30 50 100];
 passengers = [20 10 40 60 35 20 33 12 44 50 20 10 30 58 46 33 12 22 24 60 54 10 25 32 45];
  
 capacity =   [20    20   20   40   40   60  60   60   60   60];
 costKm =     [0.08 0.08 0.08 0.12 0.12 0.2  0.2  0.2  0.2  0.2];  
 costMinute = [0.05 0.05 0.05 0.1  0.1  0.15 0.15 0.15 0.15 0.15]; 
 
 maxDrivingMinutes = [360 400 480 360 420 720 660 600 360 420];
 
 // For b)
 maxBuses = 5;
 
 // For c)
 baseMinutes = 200;
 costBaseMinute = 0.2;
 costExtraMinute = 0.3;
